COMMENTID,COMMENTATOR,CUE,TEXT,TRIMVIDEO,TRIMASPECT,Ratings1,Ratings2,Ratings3,Ratings4,Ratings5 ,Sum,TLSum
1083,UCW7,128,listening and reading the slides at the same time difficult is a good point,TUTORIAL 1,I like this point,1,0,0,1,4,6,1
1094,UCW7,234,smiling is showing confidence,TUTORIAL 4,I like this point,1,0,0,0,2,3,1
1086,UCW7,116,The second opening statement was definitely better,TUTORIAL 2,I like this point,0,0,1,0,1,2,1
1090,UCW7,109,giving your audience a reason to listen,TUTORIAL 3,I like this point,1,0,0,0,3,4,1
1085,UCW7,29,people remember first and last thing someone says,TUTORIAL 2,I like this point,2,0,0,0,5,7,2
1084,UCW7,152,"do the presentation like a story, a beginning, middle and end.",TUTORIAL 1,I like this point,2,0,0,0,2,4,2
1089,UCW7,85,making themes clear and consistent is a good point,TUTORIAL 3,I like this point,2,1,0,0,1,4,3
1091,UCW7,251,make numbers meaningful,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
1087,UCW7,318,firework example was good point,TUTORIAL 2,I like this point,0,1,0,0,1,2,1
1093,UCW7,132,useful to know what to do with arms when presenting,TUTORIAL 4,I like this point,1,0,0,0,3,4,1
1299,UCW8,164,Selling stories when you do presentations,TUTORIAL 1,I like this point,2,1,0,0,2,5,3
1311,UCW8,405,practice makes perfect,TUTORIAL 3,I like this point,0,0,0,0,1,1,0
1302,UCW8,447,"first and last three mins are important, marked!",TUTORIAL 2,I like this point,0,0,0,0,2,2,0
1318,UCW8,289,"I agree at this point, making eye contact",TUTORIAL 4,I like this point,0,0,0,0,2,2,0
1142,LstudyID599,81,Rather than bullets/graphs/points - think about the presentation as a story with a beginning/middle and end,TUTORIAL 1,No Aspect Selected,0,1,0,1,3,5,1
902,LstudyID636,32,All of these things relate to confidence.,TUTORIAL 4,No Aspect Selected,1,1,1,0,3,6,3
1118,LstudyID732,198,"Clear ending, the audience leaves remembering the main idea.",EXAMPLE 1,No Aspect Selected,0,0,0,0,3,3,0
1124,UCM34,85,Boring like the pace this presentation is moving at.,TUTORIAL 2,No Aspect Selected,0,0,0,1,1,2,0
1125,UCM34,300,I do not feel that any of those presentation 'slices' were effective.,TUTORIAL 2,No Aspect Selected,0,2,1,0,0,3,3
1127,UCM34,161,Words are not as important as tone of voice and body language for this.,TUTORIAL 3,No Aspect Selected,0,0,0,1,2,3,0
1122,UCM34,26,This doesn't seem like a good presentation already :(,TUTORIAL 2,No Aspect Selected,0,1,2,3,2,8,3
1123,UCM34,60,Background is distracting.,TUTORIAL 2,No Aspect Selected,0,0,0,2,2,4,0
1378,UCT21,97,"use props as needed, don't go overboard!",TUTORIAL 1,No Aspect Selected,0,0,1,0,3,4,1
1381,UCT21,278,"using anecdotes, stories as a opener works brilliantly",TUTORIAL 2,No Aspect Selected,0,0,0,0,2,2,0
1140,UCT23,21,enlighting,TUTORIAL 1,No Aspect Selected,2,0,2,0,4,8,4
1437,UCT26,246,Silence or pause may be a good idea if we don't have time limit,TUTORIAL 4,No Aspect Selected,0,0,0,0,2,2,0
1426,UCT26,126,"Using ""low-tech"" tools are a new thing for me. I always thought that PowerPoint is the best tool to make a presentation. I do realise using so many figures would distract audiences. Therefore, I hide the text only for me to read in my laptop.",TUTORIAL 1,No Aspect Selected,1,0,1,1,2,5,2
803,UCT27,265,I never thought opening and closing are quite vital until now,TUTORIAL 2,No Aspect Selected,1,0,0,0,2,3,1
802,UCT27,8,Jim has developed a better way to improve is presentation,TUTORIAL 1,No Aspect Selected,0,1,3,2,4,10,4
1293,UCW13,22,"smile,silence",TUTORIAL 4,No Aspect Selected,1,1,0,0,2,4,2
1283,UCW13,110,reason to listen,TUTORIAL 3,No Aspect Selected,1,0,0,0,2,3,1
1291,UCW13,5,gee do i need this....,TUTORIAL 4,No Aspect Selected,0,1,1,0,0,2,2
1274,UCW13,159,"I like this factual, slightly funny, with a good point which is easy to understand.",TUTORIAL 2,No Aspect Selected,1,0,0,0,2,3,1
1295,UCW13,87,dont claspe,TUTORIAL 4,No Aspect Selected,0,2,0,0,0,2,2
1286,UCW13,287,treat it like a show high points and low points,TUTORIAL 3,No Aspect Selected,0,0,0,1,2,3,0
1285,UCW13,187,be excited,TUTORIAL 3,No Aspect Selected,0,0,1,0,1,2,1
1281,UCW13,69,set the theme,TUTORIAL 3,No Aspect Selected,2,1,0,0,1,4,3
1297,UCW13,107,dont grasp the lectern,TUTORIAL 4,No Aspect Selected,0,0,1,0,1,2,1
1284,UCW13,136,"great for multiple point presentation, in science this happens for key note addresses",TUTORIAL 3,No Aspect Selected,1,1,0,0,1,3,2
1280,UCW13,433,close first ..... know the end of the story. Start then move the story to its end,TUTORIAL 2,No Aspect Selected,0,0,0,0,2,2,0
1277,UCW13,334,to summaries good start to the end,TUTORIAL 2,No Aspect Selected,1,0,1,0,0,2,2
1276,UCW13,314,"Its not just fireworks displays, often things being watched by groups tend to come to a crescendo... food for thought",TUTORIAL 2,No Aspect Selected,0,0,2,0,0,2,2
1292,UCW13,18,"stance, sound",TUTORIAL 4,No Aspect Selected,1,1,0,0,1,3,2
1298,UCW13,145,lower your shoulders,TUTORIAL 4,No Aspect Selected,0,1,0,0,1,2,1
1289,UCW13,387,oh and one last thing.....may this is where you tell the audience how this effects the future....,TUTORIAL 3,No Aspect Selected,0,0,0,0,1,1,0
941,UCW6,20,I wouldn't use a lectern at all. I'd come in front.- barrier,TUTORIAL 4,No Aspect Selected,0,1,1,0,0,2,2
936,UCW6,272,simple visuals,TUTORIAL 3,No Aspect Selected,0,0,1,0,2,3,1
932,UCW6,103,headline,TUTORIAL 3,No Aspect Selected,0,0,0,0,2,2,0
933,UCW6,140,"outline, clear transition from section to section",TUTORIAL 3,No Aspect Selected,0,0,0,0,3,3,0
934,UCW6,166,fun (not boring) language,TUTORIAL 3,No Aspect Selected,0,0,0,0,2,2,0
930,UCW6,425,finish with one punch word,TUTORIAL 2,No Aspect Selected,0,0,0,0,1,1,0
945,UCW6,259,I like the humor. no outline but tells a story. I like it better than having an outline of the talk i nthe intro,EXAMPLE 2,No Aspect Selected,0,0,1,0,1,2,1
947,UCW6,59,The beginning isn't really wow.,EXAMPLE 4,No Aspect Selected,1,0,1,1,1,4,2
946,UCW6,158,Idon't like his delivery - speaks too fast and a bit mumbling and confused,EXAMPLE 3,No Aspect Selected,1,0,1,0,1,3,2
937,UCW6,30,does all of this apply to a research talk?,TUTORIAL 3,No Aspect Selected,0,1,0,0,3,4,1
938,UCW6,324,memorable moments of my presentation?,TUTORIAL 3,No Aspect Selected,0,1,0,0,1,2,1
939,UCW6,392,"I don't quite get the added bonus thing - something to think about, esp. for a research talk",TUTORIAL 3,No Aspect Selected,0,0,0,0,2,2,0
931,UCW6,75,set the theme,TUTORIAL 3,No Aspect Selected,0,1,0,0,1,2,1
928,UCW6,298,"interesting examples, engagement of audience,",TUTORIAL 2,No Aspect Selected,0,0,0,0,2,2,0
929,UCW6,405,quotation,TUTORIAL 2,No Aspect Selected,0,0,1,1,1,3,1
940,UCW6,24,Stance Sound Smile Silence Sight,TUTORIAL 4,No Aspect Selected,2,1,0,0,1,4,3
927,UCW6,106,less is more = 1 key idea per slide,TUTORIAL 1,No Aspect Selected,2,0,0,0,4,6,2
935,UCW6,220,make numbers meaningful,TUTORIAL 3,No Aspect Selected,0,0,0,0,2,2,0
943,UCW6,335,try to do lasting contact with majority of audience,TUTORIAL 4,No Aspect Selected,0,0,0,0,2,2,0
942,UCW6,259,Silence is good for listeners to catch up as well,TUTORIAL 4,No Aspect Selected,0,1,0,0,1,2,1
1092,UCW7,394,approach presentations as an event,TUTORIAL 3,No Aspect Selected,2,0,0,0,1,3,2
1100,UCW7,85,did not have a snappy introduction,EXAMPLE 4,No Aspect Selected,0,0,0,0,2,2,0
1082,UCW7,58,Having headings and subheadings and graphs that had a lot of information was something I have done and have seen others do in the past,TUTORIAL 1,No Aspect Selected,1,0,0,0,6,7,1
1163,LstudyID599,69,talking too fast,EXAMPLE 1,Speech,0,0,0,2,1,3,0
1204,LstudyID599,40,not using silence/pauses and speaking quickly,EXAMPLE 3,Speech,1,2,0,0,3,6,3
1206,LstudyID599,104,speaking quickly,EXAMPLE 3,Speech,0,0,0,0,2,2,0
1175,LstudyID599,148,slow measured speech,EXAMPLE 2,Speech,0,0,1,0,1,2,1
1174,LstudyID599,86,voice variation for clarity of points,EXAMPLE 2,Speech,1,0,1,0,1,3,2
1216,LstudyID599,47,Good slow speach-appears confident,EXAMPLE 4,Speech,1,0,0,0,4,5,1
1106,LstudyID732,145,"Diction is not great, I didn't catch that last sentence.",EXAMPLE 3,Speech,0,0,2,0,0,2,2
1107,LstudyID732,146,"I like the way he seems to be speaking freely, i.e. not completely scripted word for word.",EXAMPLE 3,Speech,0,1,0,0,3,4,1
1136,UCM34,101,Using obviously is bad.,EXAMPLE 3,Speech,0,0,2,0,0,2,2
1444,UCT26,49,i sense nervous in his voice,EXAMPLE 3,Speech,0,0,0,0,3,3,0
1446,UCT26,39,"refer to the previous video, I don't think we need to introduce ourselves in the beginning of the speech.",EXAMPLE 4,Speech,1,0,0,1,3,5,1
944,UCW6,2,"Nice visuals, great referral to some; i sort of expected him to refer to other ones as well. nice voice and eye contact. catch in the beginning",EXAMPLE 1,Speech,1,0,0,1,6,8,1
1098,UCW7,111,speech is too fast difficult to follow,EXAMPLE 3,Speech,0,0,0,2,1,3,0
1095,UCW7,95,very engaging speech,EXAMPLE 1,Speech,0,0,0,1,1,2,0
1097,UCW7,46,speech is not as clear as it could be,EXAMPLE 3,Speech,0,0,0,0,3,3,0
1330,UCW8,18,he got a nice research topic which allows him to give a nice presentation.,EXAMPLE 1,Speech,0,0,1,3,2,6,1
1213,LstudyID599,31,complex start for none familiar,EXAMPLE 4,Structure,1,0,1,1,1,4,2
1177,LstudyID599,497,excellent story/narrative,EXAMPLE 2,Structure,0,0,0,0,2,2,0
1218,LstudyID599,175,Good summary/end commentary,EXAMPLE 4,Structure,0,0,0,0,2,2,0
1164,LstudyID599,70,good opener,EXAMPLE 1,Structure,0,0,0,1,1,2,0
1205,LstudyID599,88,hasn't set out the story or structure of the presentation - don't know what the headline/arguement is,EXAMPLE 3,Structure,1,0,0,1,3,5,1
904,LstudyID636,407,taking too long to get to the main point of the talk.,EXAMPLE 2,Structure,0,1,0,2,1,4,1
903,LstudyID636,49,"Just like first 2 videos, this is linked to telling a story.",EXAMPLE 1,Structure,0,0,0,0,3,3,0
1115,LstudyID732,106,"Good place for the quip - right in the middle. As a result, you can tell he's serious but also adds a sense of humour to his presentation.",EXAMPLE 1,Structure,0,1,0,1,1,3,1
1116,LstudyID732,119,Use of analogy is good. The audience can relate the idea something that's established and perhaps better understood.,EXAMPLE 1,Structure,0,0,1,0,2,3,1
1109,LstudyID732,323,"Repetition of ""I want a web.."" is a nice hook that collects the points nicely.",EXAMPLE 3,Structure,2,1,0,0,2,5,3
1113,LstudyID732,30,Awesome intro. Great pause after 'begins'. Attention is gained immediately with the promise of a story.,EXAMPLE 1,Structure,1,1,0,0,5,7,2
1110,LstudyID732,374,"Reaching conclusion, a nice way to sum up, as this is the first time the title of the talk has been mentioned.",EXAMPLE 3,Structure,0,0,0,0,3,3,0
1138,UCM34,228,Feel like we are getting side tracked.,EXAMPLE 3,Structure,0,1,1,1,0,3,2
1135,UCM34,187,"I guess the structure is really good, since it seemed to flow smoothly from trees in the pacific northwest to statistics and computers.",EXAMPLE 1,Structure,0,0,0,0,3,3,0
1139,UCM34,252,Too many points? Should I be worried about censorship or privacy or both.,EXAMPLE 3,Structure,0,1,1,0,0,2,2
1141,UCT23,177,She doesn't have a firm posture.,EXAMPLE 2,Structure,0,0,0,0,2,2,0
1440,UCT26,169,no outline?,EXAMPLE 1,Structure,0,0,1,1,1,3,1
1102,UCW7,172,clear speech,EXAMPLE 4,Structure,0,0,0,0,2,2,0
1207,LstudyID599,129,good simple visuals so far though,EXAMPLE 3,Visual aids,0,0,1,0,1,2,1
1214,LstudyID599,35,confusing visual,EXAMPLE 4,Visual aids,0,0,1,1,2,4,1
1173,LstudyID599,33,good/simple visuals,EXAMPLE 2,Visual aids,2,0,0,0,4,6,2
1104,LstudyID732,296,"Written content of the slides is low, keeping the focus on the audible content.",EXAMPLE 2,Visual aids,0,0,1,0,1,2,1
1108,LstudyID732,243,"Clear message from the slide. Nothing to read, puts focus on the speech.",EXAMPLE 3,Visual aids,0,1,0,0,1,2,1
1111,LstudyID732,54,There is perhaps too much on that slide for me.,EXAMPLE 4,Visual aids,0,0,2,1,1,4,2
1134,UCM34,41,Excellent use of visual aids. Simple and only refered to when necessary.,EXAMPLE 1,Visual aids,0,0,0,1,4,5,0
1439,UCT26,137,only one slide,EXAMPLE 1,Visual aids,0,1,2,0,0,3,3
1441,UCT26,156,"i think two big screens in front of the speaker are a helpful tool for giving a hint of next slide. Or, maybe a transcribed text.",EXAMPLE 2,Visual aids,0,1,0,0,1,2,1
1096,UCW7,119,good use of pictures and graphics,EXAMPLE 2,Visual aids,0,0,0,1,2,3,0
1099,UCW7,122,nice visual aids,EXAMPLE 3,Visual aids,0,0,0,0,3,3,0
1331,UCW8,497,she is a nice speaker.,EXAMPLE 2,Visual aids,0,0,0,0,2,2,0
1513,LstudyID030,388,nice ending,EXAMPLE 3,Delivery,0,0,0,0,1,1,0
1500,LstudyID030,89,good hand gesture,EXAMPLE 1,Delivery,0,0,0,0,2,2,0
1516,LstudyID030,51,very good posture,EXAMPLE 4,Delivery,0,0,1,0,3,4,1
1503,LstudyID030,33,very nice opening,EXAMPLE 2,Delivery,0,0,0,0,4,4,0
1512,LstudyID030,341,very good pauses to make it more important,EXAMPLE 3,Delivery,0,0,1,0,1,2,1
1565,LstudyID514,249,He's definitely passionate about the subject,EXAMPLE 3,Delivery,0,0,0,0,0,0,0
1566,LstudyID514,204,Very well delivered,EXAMPLE 4,Delivery,0,0,0,0,0,0,0
1539,LstudyID912,144,"Good use of gestures, emphasises her points",EXAMPLE 4,Delivery,0,0,0,0,3,3,0
1533,LstudyID912,226,"Sounds like she's explaining this to a friend, so it's very easy to follow and doesn't feel like a traditional presentation",EXAMPLE 2,Delivery,0,0,0,0,6,6,0
1530,LstudyID912,200,"Very clear, well-practised. Good use of pauses.",EXAMPLE 1,Delivery,0,0,1,0,2,3,1
1041,UCM33,74,"Again did you see how she is pointing at the point that she is showing the audience, meaning she got the traits when compared to Video No 5 that did a presentation on the same platform(Ontario). In fact this presentation is way cool.",EXAMPLE 4,Delivery,1,0,0,0,1,2,1
822,UCT18,117,the diagram is useful for explaining a concept,EXAMPLE 4,Delivery,1,0,0,0,1,2,1
819,UCT18,417,she moves around a lot when speaking,EXAMPLE 2,Delivery,0,0,0,0,1,1,0
815,UCT18,121,He makes good eye contact,EXAMPLE 1,Delivery,1,0,0,0,1,2,1
1546,UCT19,163,she introduces who she is at the 2.40 mark after she has the attention of the audience,EXAMPLE 2,Delivery,0,0,0,0,1,1,0
1543,UCT19,170,effective use of his hand in emphasizing various points,EXAMPLE 1,Delivery,0,0,0,0,1,1,0
1557,UCT20,76,"I like the humour and even though it's obviously a complicated topic, his treatment of it is really accessible.",EXAMPLE 1,Delivery,2,0,0,0,4,6,2
1338,UCT39,153,"Very short, the slide well organized, no text at all but still give a clear idea of his speech, he explained his research in 3 min and was so easy to understand even if you have nothing to do with chemistry",EXAMPLE 1,Delivery,1,0,0,0,3,4,1
986,UCW11,0,Better explanation of research idea,EXAMPLE 1,Delivery,0,1,0,1,4,6,1
799,UCW15,228,Swaying is a bit distracting,EXAMPLE 2,Delivery,0,1,0,0,1,2,1
795,UCW15,45,He clasps his hands a lot while he speaks,EXAMPLE 1,Delivery,0,0,1,0,1,2,1
1562,UCW15,64,Fantastic vocal variety,EXAMPLE 3,Delivery,0,0,2,0,0,2,2
1424,UCW2,200,The presentation was clear with not too much technical jargons. He relates quite well to the general audience.,EXAMPLE 1,Delivery,0,0,0,1,2,3,0
1273,UCW4,141,the way of information delivery is quite clear for those who without computer science and chemical background.,EXAMPLE 1,Delivery,0,0,1,0,2,3,1
1185,UCW5,43,The speed can be slowed down just very slightly in the beginning as the audience grasps what he is trying to say but is otherwise good overall,EXAMPLE 1,Delivery,0,0,2,1,0,3,2
1188,UCW5,172,Slightly too much moving around on stage for me.,EXAMPLE 2,Delivery,0,0,0,0,3,3,0
1195,UCW5,177,Needs to slow down. Add some pauses.,EXAMPLE 3,Delivery,0,0,0,0,2,2,0
1183,UCW5,65,Great way to draw the audience in with the interesting opening,EXAMPLE 1,Delivery,0,0,0,1,2,3,0
1524,LstudyID912,167,I think I'm quite good at showing my enthusiasm for my research topics. I think it's also important not to overdo it.,TUTORIAL 3,I am rather good at this,0,0,0,0,4,4,0
1004,UCM33,172,Yes! keeping the audience ''wanting'' like wanting to hear from you more. I agree with that,TUTORIAL 3,I am rather good at this,0,0,0,0,1,1,0
1012,UCM33,290,"Yes! the eye contact works like magic, i always use that and have seen the benefit.",TUTORIAL 4,I am rather good at this,1,0,0,0,1,2,1
808,UCT18,258,I like using visual slides to present,TUTORIAL 3,I am rather good at this,0,0,0,0,1,1,0
814,UCT18,310,Making eye contact with the audience helps me calm down,TUTORIAL 4,I am rather good at this,0,0,0,0,1,1,0
1305,UCT39,48,"Agree with this point, it is good to have graphs, charts, pics, as economist i always use them",TUTORIAL 1,I am rather good at this,1,0,0,1,7,9,1
981,UCW11,74,set the theme of your talk,TUTORIAL 3,I am rather good at this,1,1,0,0,2,4,2
984,UCW11,380,Rehearse enough before presentation,TUTORIAL 3,I am rather good at this,0,0,0,0,1,1,0
1245,UCW4,136,open&close each section with a clear transition(here is the first thing I'd like to share you this morning),TUTORIAL 3,I am rather good at this,1,0,0,0,4,5,1
1242,UCW4,78,make sure the theme clear and consistent through out the presentation,TUTORIAL 3,I am rather good at this,1,0,0,0,4,5,1
1180,UCW5,36,Having a confident stance really helps to get me ready mentally to present,TUTORIAL 4,I am rather good at this,1,1,0,0,5,7,2
